Tip43	3	-1.66614	1.36488
Tip43	4	-2.28005	1.65754
Tip43	5	-2.91599	1.42366
Tip43	6	-3.1032	0.716943
Tip43	7	-2.97041	-0.113773
Tip43	8	-2.45886	-0.657968
Tip43	9	-1.72593	-0.799131
Tip43	10	-1.08604	-0.418161
Tip92	1	0.239109	1.87206
Tip92	2	-0.0624826	2.54462
Tip92	3	-0.692802	3.06291
Tip92	4	-1.3393	3.179
Tip92	5	-1.91755	2.84078
Tip92	6	-2.03975	2.1036
Tip92	7	-1.84625	1.27283
Tip92	8	-1.3299	0.772379
Tip92	9	-0.568979	0.849691
Tip92	10	0.026299	1.32754
Tip140	1	0.902147	0.772743
Tip140	2	0.478856	1.44323
Tip140	3	-0.141114	1.96161
Tip140	4	-0.818363	2.14687
Tip140	5	-1.47515	1.89862
Tip140	6	-1.60859	1.15342
Tip140	7	-1.4167	0.364561
Tip140	8	-0.897231	-0.148189
Tip140	9	-0.059015	-0.125393
Tip140	10	0.696169	0.274723
Tip139	1	-0.207608	0.965008
Tip139	2	-0.396799	1.48011
Tip139	3	-0.818049	1.87222
Tip139	4	-1.42707	2.05207
Tip139	5	-2.16471	1.74079
Tip139	6	-2.3059	1.05189
Tip139	7	-2.16875	0.288804
Tip139	8	-1.66394	-0.0766528
Tip139	9	-1.04094	-0.0211534
Tip139	10	-0.48895	0.426702
Tip8	1	1.85857	0.847203
Tip8	2	1.66958	1.41361
Tip8	3	1.15064	1.79238
Tip8	4	0.362536	1.87825
Tip8	5	-0.282315	1.63409
Tip8	6	-0.435449	1.06122
Tip8	7	-0.288522	0.334771
Tip8	8	0.255191	-0.137323
Tip8	9	0.950257	-0.132163
Tip8	10	1.6136	0.285153
Tip23	1	4.13945	2.63686
Tip23	2	4.12661	3.27077
Tip23	3	3.77206	3.63338
Tip23	4	3.1208	3.71261
Tip23	5	2.2322	3.41905
Tip23	6	2.03549	2.94682
Tip23	7	2.06128	2.36856
Tip23	8	2.59399	1.93351
Tip23	9	3.13579	1.73531
Tip23	10	3.72857	2.06329
Ardipithecus_ramidus	1	4.21514	2.72657
Ardipithecus_ramidus	2	4.16658	3.32598
Ardipithecus_ramidus	3	3.7453	3.69673
Ardipithecus_ramidus	4	3.16946	3.82471
Ardipithecus_ramidus	5	2.42219	3.56964
Ardipithecus_ramidus	6	2.29431	3.15607
Ardipithecus_ramidus	7	2.36315	2.52291
Ardipithecus_ramidus	8	2.78285	2.03605
Ardipithecus_ramidus	9	3.3298	1.8557
Ardipithecus_ramidus	10	3.90169	2.15154
Tip32	1	4.41379	0.301443
Tip32	2	4.28087	0.853752
Tip32	3	3.87189	1.17746
Tip32	4	3.09055	1.29565
Tip32	5	2.29078	1.24238
Tip32	6	2.13481	0.778873
Tip32	7	2.24629	0.163547
